ID,X,Y
0,"[1, 2, 0.06549195605056153, 0]",0
1,"[0, 1, 0.009563282508632974, 0]",1
2,"[0, 1, 0.09460639604702227, 1]",1
3,"[1, 1, 0.015707596425076804, 0]",0
4,"[0, 2, 0.05793519189088135, 0]",0
5,"[1, 3, 0.1255262490969096, 0]",0
6,"[0, 2, 0.08015480988268808, 0]",1
7,"[1, 1, 0.0036943317417625775, 0]",0
8,"[1, 2, 0.047072343411341096, 0]",0
9,"[0, 1, 0.17252691585117705, 0]",0
10,"[0, 2, 0.0627631245484548, 1]",1
11,"[0, 1, 0.08118709131338937, 0]",1
12,"[1, 1, 0.004639179130572944, 0]",1
13,"[0, 3, 0.07791538135214449, 0]",0
14,"[1, 1, 0.009422404073886049, 0]",0
15,"[0, 3, 0.02265135322049496, 0]",0
16,"[0, 2, 0.04522476685277722, 1]",1
17,"[0, 1, 0.033186728423169366, 0]",1
18,"[0, 3, 0.06025259956651661, 0]",0
19,"[0, 1, 0.028265479282985763, 0]",1
20,"[1, 1, 0.0066827859851561885, 0]",0
21,"[0, 1, 0.02116898059557599, 0]",1
22,"[0, 3, 0.08860676406840677, 0]",0
23,"[1, 2, 0.04016839971101107, 0]",0
24,"[1, 1, 0.0190250158364979, 0]",0
25,"[1, 3, 0.0319721944613699, 0]",0
26,"[1, 1, 0.022543540279506023, 0]",0
27,"[1, 1, 0.05205167057045987, 0]",0
28,"[0, 1, 0.07103364145422172, 0]",1
29,"[1, 1, 0.01773871458915768, 0]",0
30,"[0, 3, 0.006360148143849732, 0]",0
31,"[0, 3, 0.06549195605056153, 0]",0
32,"[1, 2, 0.04366130403370768, 0]",0
33,"[0, 1, 0.04040910797501542, 0]",1
34,"[1, 2, 0.006549195605056153, 0]",0
35,"[0, 1, 0.029828019587384458, 0]",1
36,"[0, 1, 0.0392711643324392, 0]",1
37,"[1, 1, 0.043152937183439696, 0]",0
38,"[0, 2, 0.06694733285168512, 0]",1
39,"[0, 2, 0.07531574945814576, 0]",0
40,"[1, 3, 0.09718161220405905, 0]",0
41,"[1, 3, 0.0060738507627536905, 0]",0
42,"[1, 1, 0.07724692252117514, 0]",0
43,"[1, 3, 0.04243140814543423, 0]",0
44,"[1, 2, 0.051941896178031556, 0]",0
45,"[0, 1, 0.029259925255396346, 1]",1
46,"[1, 3, 0.06622811709855195, 0]",0
